Banco,Data operação,Tipo de ativo,Nome ativo,C/V,Preço operação,Qnt,Valor total,Preço médio,Lucro,Imposto,Observação,F sup
Nuinvest,05/01/2024,FII,KNSC11,C,"R$ 9,17",437,"R$ 4.007,29",,,,,"R$ 0,00"
Nuinvest,04/01/2024,FII,BCRI11,V,"R$ 75,23",23,"R$ 1.730,29","R$ 78,78","-R$ 81,61","-R$ 16,32","Dia 4 soma igual à -R$1,83 parte 1","R$ 1.811,90"
Nuinvest,04/01/2024,FII,BCRI11,V,"R$ 75,24",4,"R$ 300,96","R$ 78,78","-R$ 14,15","-R$ 2,83",,"R$ 315,11"
Nuinvest,04/01/2024,FII,BCRI11,V,"R$ 75,25",3,"R$ 225,75","R$ 78,78","-R$ 10,59","-R$ 2,12",,"R$ 236,34"
Nuinvest,04/01/2024,FII,BCRI11,V,"R$ 75,27",20,"R$ 1.505,40","R$ 78,78","-R$ 70,17","-R$ 14,03",,"R$ 1.575,57"
Nuinvest,04/01/2024,FII,GGRC11,V,"R$ 113,30",37,"R$ 4.192,10","R$ 117,38","-R$ 151,10","-R$ 30,22",,"R$ 4.343,20"
Nuinvest,04/01/2024,FII,HGCR11,C,"R$ 104,50",39,"R$ 4.075,50",,,,,"R$ 0,00"
Nuinvest,04/01/2024,FII,HGLG11,C,"R$ 161,98",31,"R$ 5.021,38",,,,,"R$ 0,00"
Nuinvest,04/01/2024,FII,JSRE11,V,"R$ 75,75",8,"R$ 606,00","R$ 79,38","-R$ 29,05","-R$ 5,81",,"R$ 635,05"
Nuinvest,04/01/2024,FII,KNCR11,V,"R$ 103,27",40,"R$ 4.130,80","R$ 95,90","R$ 295,00","R$ 59,00",,"R$ 3.835,80"
Inter,04/01/2024,FII,HGCR11,C,"R$ 104,98",9,"R$ 944,82",,,,,"R$ 0,00"
Inter,04/01/2024,FII,HGLG11,C,"R$ 162,00",6,"R$ 972,00",,,,,"R$ 0,00"
Inter,04/01/2024,FII,BCRI11,V,"R$ 75,55",13,"R$ 982,15","R$ 75,42","R$ 1,71","R$ 0,34","Dia 4 soma igual à -R$1,83 parte 2","R$ 980,44"
Inter,04/01/2024,FII,GGRC11,V,"R$ 113,39",8,"R$ 907,12","R$ 116,10","-R$ 21,64","-R$ 4,33",,"R$ 928,76"
Inter,04/01/2024,FII,HSML11,V,"R$ 96,37",2,"R$ 192,74","R$ 89,99","R$ 12,76","R$ 2,55",,"R$ 179,98"
Inter,04/01/2024,FII,KNCR11,V,"R$ 103,32",9,"R$ 929,88","R$ 96,68","R$ 59,72","R$ 11,94",,"R$ 870,16"
Nuinvest,07/12/2023,FII,BCRI11,V,"R$ 67,78",1,"R$ 67,78","R$ 78,78","-R$ 11,00","-R$ 2,20","Soma Igual a -R$0,11","R$ 78,78"
Nuinvest,07/12/2023,FII,BCRI11,V,"R$ 67,79",1,"R$ 67,79","R$ 78,78","-R$ 10,99","-R$ 2,20",,"R$ 78,78"
Nuinvest,07/12/2023,FII,CVBI11,V,"R$ 88,60",1,"R$ 88,60","R$ 90,20","-R$ 1,60","-R$ 0,32",,"R$ 90,20"
Nuinvest,07/12/2023,FII,CVBI11,V,"R$ 88,63",1,"R$ 88,63","R$ 90,20","-R$ 1,57","-R$ 0,31",,"R$ 90,20"
Nuinvest,07/12/2023,FII,HSML11,V,"R$ 92,17",1,"R$ 92,17","R$ 91,93","R$ 0,24","R$ 0,05",,"R$ 91,93"
Nuinvest,07/12/2023,FII,KNCR11,V,"R$ 101,55",2,"R$ 203,10","R$ 95,90","R$ 11,31","R$ 2,26",,"R$ 191,79"
Nuinvest,07/12/2023,FII,RBVA11,V,"R$ 111,35",1,"R$ 111,35","R$ 104,83","R$ 6,52","R$ 1,30",,"R$ 104,83"
Nuinvest,07/12/2023,FII,RBVA11,V,"R$ 111,36",1,"R$ 111,36","R$ 104,83","R$ 6,53","R$ 1,31",,"R$ 104,83"
Nuinvest,09/11/2023,FII,BCRI11,V,"R$ 67,62",1,"R$ 67,62","R$ 78,78","-R$ 11,16","-R$ 2,23","Soma igual a -0,57","R$ 78,78"
Nuinvest,09/11/2023,FII,CVBI11,V,"R$ 91,70",4,"R$ 366,80","R$ 90,20","R$ 5,99","R$ 1,20",,"R$ 360,81"
Nuinvest,09/11/2023,FII,HSML11,V,"R$ 92,51",4,"R$ 370,04","R$ 91,93","R$ 2,31","R$ 0,46",,"R$ 367,73"
Nuinvest,16/10/2023,FII,BCRI11,V,"R$ 68,98",5,"R$ 344,90","R$ 78,78","-R$ 48,99","-R$ 9,80","Soma igual a 0,11","R$ 393,89"
Nuinvest,16/10/2023,FII,BTCR11,V,"R$ 9,83",53,"R$ 520,99","R$ 9,33","R$ 26,47","R$ 5,29",,"R$ 494,52"
Nuinvest,16/10/2023,FII,JSRE11,V,"R$ 72,50",4,"R$ 290,00","R$ 79,38","-R$ 27,53","-R$ 5,51",,"R$ 317,53"
Nuinvest,16/10/2023,FII,KNCR11,V,"R$ 101,72",4,"R$ 406,88","R$ 95,90","R$ 23,30","R$ 4,66",,"R$ 383,58"
Nuinvest,16/10/2023,FII,RBVA11,V,"R$ 111,65",4,"R$ 446,60","R$ 104,83","R$ 27,28","R$ 5,46",,"R$ 419,32"
Nuinvest,16/10/2023,Ação,CMIG4,V,"R$ 12,16",37,"R$ 449,92","R$ 12,49","-R$ 12,28","-R$ 1,84",Isen. 10k Out,"R$ 462,20"
Nuinvest,16/10/2023,Ação,PSSA3,V,"R$ 25,96",23,"R$ 597,08","R$ 27,84","-R$ 43,34","-R$ 6,50",,"R$ 640,42"
Nuinvest,10/10/2023,Ação,PSSA3,V,"R$ 26,52",19,"R$ 503,88","R$ 27,84","-R$ 25,16","-R$ 3,77",,"R$ 529,04"
Nuinvest,10/10/2023,Ação,CIEL3,V,"R$ 3,53",143,"R$ 504,79","R$ 4,69","-R$ 166,01","-R$ 24,90",,"R$ 670,80"
Nuinvest,15/09/2023,Ação,BBAS3,V,"R$ 23,75",38,"R$ 902,50","R$ 23,05","R$ 26,64","R$ 4,00",Isen. 10k Set,"R$ 875,86"
Nuinvest,15/09/2023,Ação,BBAS3,V,"R$ 23,76",4,"R$ 95,02","R$ 23,05","R$ 2,82","R$ 0,42",,"R$ 92,20"
Nuinvest,11/09/2023,Ação,SUZB3,V,"R$ 49,86",20,"R$ 997,20","R$ 44,66","R$ 104,02","R$ 15,60",,"R$ 893,18"
Nuinvest,08/09/2023,Ação,SAPR4,V,"R$ 4,56",440,"R$ 2.006,40","R$ 4,28","R$ 124,73","R$ 18,71",,"R$ 1.881,67"
Nuinvest,01/09/2023,Ação,SAPR4,V,"R$ 4,63",433,"R$ 2.004,79","R$ 4,28","R$ 153,06","R$ 22,96",,"R$ 1.851,73"
Nuinvest,30/08/2023,Ação,BBAS3,V,"R$ 24,04",16,"R$ 384,56","R$ 23,05","R$ 15,78","R$ 2,37",Isen. 10k Ago,"R$ 368,78"
Nuinvest,30/08/2023,Ação,BBAS3,V,"R$ 24,04",4,"R$ 96,16","R$ 23,05","R$ 3,96","R$ 0,59",,"R$ 92,20"
Nuinvest,30/08/2023,Ação,SUZB3,V,"R$ 50,91",10,"R$ 509,10","R$ 44,66","R$ 62,51","R$ 9,38",,"R$ 446,59"
Nuinvest,23/08/2023,Ação,BBAS3,V,"R$ 23,96",142,"R$ 3.402,32","R$ 23,05","R$ 129,38","R$ 19,41",,"R$ 3.272,94"
Nuinvest,23/08/2023,Ação,SUZB3,V,"R$ 49,57",19,"R$ 941,83","R$ 44,66","R$ 93,31","R$ 14,00",,"R$ 848,52"
Nuinvest,18/08/2023,Ação,SUZB3,V,"R$ 50,68",20,"R$ 1.013,60","R$ 44,66","R$ 120,42","R$ 18,06",,"R$ 893,18"
Nuinvest,11/08/2023,ETF,USDB11,V,"R$ 86,52",61,"R$ 5.277,72","R$ 86,15","R$ 22,57","R$ 3,39",Darf setembro,"R$ 5.255,15"
Nuinvest,11/08/2023,ETF,USDB11,V,"R$ 86,53",21,"R$ 1.817,13","R$ 86,15","R$ 7,98","R$ 1,20",,"R$ 1.809,15"
Nuinvest,11/08/2023,Tesouro,Selic 2029,V,"R$ 13.530,84","0,62","R$ 8.389,12","R$ 13.196,55","R$ 207,26",,,"R$ 8.181,86"
Nuinvest,10/08/2023,Tesouro ,Selic 2029,V,"R$ 13.524,20","0,15","R$ 2.028,63","R$ 13.196,55","R$ 49,15",,,"R$ 1.979,48"
Nuinvest,07/08/2023,Ação,BBAS3,V,"R$ 23,68",22,"R$ 520,85","R$ 23,05","R$ 13,78","R$ 2,07",Isen. 10k Ago,"R$ 507,07"
Nuinvest,07/08/2023,Ação,GGBR4,V,"R$ 27,69",17,"R$ 470,73","R$ 25,44","R$ 38,26","R$ 5,74",,"R$ 432,47"
Nuinvest,07/08/2023,Ação,GGBR4,V,"R$ 27,70",1,"R$ 27,70","R$ 25,44","R$ 2,26","R$ 0,34",,"R$ 25,44"
Nuinvest,07/08/2023,Ação,SUZB3,V,"R$ 50,41",60,"R$ 3.024,60","R$ 44,66","R$ 345,06","R$ 51,76",,"R$ 2.679,54"
Nuinvest,07/08/2023,Ação,VALE3,V,"R$ 68,06",7,"R$ 476,42","R$ 68,45","-R$ 2,76","-R$ 0,41",,"R$ 479,18"
Nuinvest,07/08/2023,Ação,VALE3,V,"R$ 68,07",1,"R$ 68,07","R$ 68,45","-R$ 0,38","-R$ 0,06",,"R$ 68,45"
Nuinvest,07/08/2023,Tesouro,Selic 2026,V,"R$ 13.599,86","1,95","R$ 26.519,73","R$ 13.222,13","R$ 736,58",,,"R$ 25.783,15"
Nuinvest,30/07/2023,Tesouro,Selic 2026,V,"R$ 13.564,23","0,3","R$ 4.069,27","R$ 13.222,13","R$ 102,63",,,"R$ 3.966,64"
Nuinvest,21/07/2023,Ação,BBAS3,C,"R$ 24,38",44,"R$ 1.072,72",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,BBAS3,C,"R$ 24,38",4,"R$ 97,50",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,BBAS3,C,"R$ 24,30",4,"R$ 97,20",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,BBAS3,C,"R$ 24,29",18,"R$ 437,13",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,BBAS3,C,"R$ 24,28",62,"R$ 1.505,36",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,GGBR4,C,"R$ 27,08",115,"R$ 3.114,20",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,SUZB3,C,"R$ 44,02",31,"R$ 1.364,62",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,SUZB3,C,"R$ 44,03",15,"R$ 660,45",,,,,"R$ 0,00"
Nuinvest,21/07/2023,Ação,VALE3,C,"R$ 67,54",10,"R$ 675,40",,,,,"R$ 0,00"
